Settimana n.;Settimana;Virus;N.;N. campioni
2016-12;21-27 marzo 2016;A;5;315
2016-12;21-27 marzo 2016;A(H3N2);26;315
2016-12;21-27 marzo 2016;A(H1N1) pdm09 ;20;315
2016-12;21-27 marzo 2016;FLU B;86;315
2016-13;28 marzo-3 aprile 2016;FLU A;42;252
2016-13;28 marzo-3 aprile 2016;A;14;252
2016-13;28 marzo-3 aprile 2016;A(H3N2);15;252
2016-13;28 marzo-3 aprile 2016;A(H1N1) pdm09 ;13;252
2016-13;28 marzo-3 aprile 2016;FLU B;71;252
2016-14;4-10 aprile 2016;FLU A;32;234
2016-14;4-10 aprile 2016;A;7;234
2016-14;4-10 aprile 2016;A(H3N2);11;234
2016-14;4-10 aprile 2016;A(H1N1) pdm09 ;14;234
2016-14;4-10 aprile 2016;FLU B;35;234
2016-15;11-17 aprile 2016;FLU A;24;208
2016-15;11-17 aprile 2016;A;1;208
2016-15;11-17 aprile 2016;A(H3N2);17;208
2016-15;11-17 aprile 2016;A(H1N1) pdm09 ;6;208
2016-15;11-17 aprile 2016;FLU B;31;208
2016-16;18-24 aprile 2016;FLU A;7;164
2016-16;18-24 aprile 2016;A;3;164
2016-16;18-24 aprile 2016;A(H3N2);3;164
2016-16;18-24 aprile 2016;A(H1N1) pdm09 ;1;164
2016-16;18-24 aprile 2016;FLU B;19;164
