Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2017-09;27 febbraio-5 marzo 2017;A(H1N1) pdm09 ;1;343;343
2017-09;27 febbraio-5 marzo 2017;FLU B;24;343;343
2017-10;6-12 marzo 2017;FLU A;15;392;392
2017-10;6-12 marzo 2017;A;3;392;392
2017-10;6-12 marzo 2017;A(H3N2);11;392;392
2017-10;6-12 marzo 2017;A(H1N1) pdm09 ;1;392;392
2017-10;6-12 marzo 2017;FLU B;18;392;392
2017-11;13-19 marzo 2017;FLU A;7;309;309
2017-11;13-19 marzo 2017;A;;309;309
2017-11;13-19 marzo 2017;A(H3N2);7;309;309
2017-11;13-19 marzo 2017;A(H1N1) pdm09 ;;309;309
2017-11;13-19 marzo 2017;FLU B;14;309;309
2017-12;20-26 marzo 2017;FLU A;4;250;250
2017-12;20-26 marzo 2017;A;;250;250
2017-12;20-26 marzo 2017;A(H3N2);4;250;250
2017-12;20-26 marzo 2017;A(H1N1) pdm09 ;;250;250
2017-12;20-26 marzo 2017;FLU B;5;250;250
2017-13;27 marzo-2 aprile 2017;FLU A;2;200;200
2017-13;27 marzo-2 aprile 2017;A;;200;200
2017-13;27 marzo-2 aprile 2017;A(H3N2);2;200;200
2017-13;27 marzo-2 aprile 2017;A(H1N1) pdm09 ;;200;200
2017-13;27 marzo-2 aprile 2017;FLU B;7;200;200
2017-14;3-9 aprile 2017;FLU A;1;184;184
2017-14;3-9 aprile 2017;A;;184;184
2017-14;3-9 aprile 2017;A(H3N2);1;184;184
2017-14;3-9 aprile 2017;A(H1N1) pdm09 ;;184;184
2017-14;3-9 aprile 2017;FLU B;5;184;184
2017-15;10-16 aprile 2017;FLU A;0;113;113
2017-15;10-16 aprile 2017;A;;113;113
2017-15;10-16 aprile 2017;A(H3N2);;113;113
2017-15;10-16 aprile 2017;A(H1N1) pdm09 ;;113;113
2017-15;10-16 aprile 2017;FLU B;4;113;113
2017-16;17-23 aprile 2017;FLU A;1;123;123
2017-16;17-23 aprile 2017;A;;123;123
2017-16;17-23 aprile 2017;A(H3N2);;123;123
2017-16;17-23 aprile 2017;A(H1N1) pdm09 ;1;123;123
2017-16;17-23 aprile 2017;FLU B;2;123;123
2017-17;24-30 aprile 2017;FLU A;0;65;65
2017-17;24-30 aprile 2017;A;;65;65
2017-17;24-30 aprile 2017;A(H3N2);;65;65
2017-17;24-30 aprile 2017;A(H1N1) pdm09 ;;65;65
2017-17;24-30 aprile 2017;FLU B;1;65;65
