;;Straniero;212.078 (6,8%) ;8.181 (8,2%) 
;Macroarea geografica;Nord;1.853.439 (59,9%) ;74.244 (74,0%) 
;;Centro;488.900 (15,8%) ;8.308 (8,3%) 
;;Sud;754.346 (24,4%) ;17.720 (17,7%) 
;Operatori sanitari;Si;36.837 (1,7%) ;4.231 (5,5%) 
;;No (o non noto);2.094.678 (98,3%) ;72.809 (94,5%) 
;Stato vaccinale;Non vaccinato;501.067 (18,1%) ;21.091 (23,7%) 
;;>= 1 dose dopo prima diagnosi;7.767 (0,3%) ;65.199 (73,1%) 
;;>= 1 dose prima della prima diagnosi;2.261.450 (81,6%) ;2.858 (3,2%) 
;;;;
26-gen-22;Fascia d'etˆ;0-19;933.253 (23,9%) ;24.031 (18,6%) 
;;20-39;1.180.205 (30,3%) ;46.716 (36,2%) 
;;40-59;1.223.562 (31,4%) ;44.660 (34,6%) 
;;60-79;462.588 (11,9%) ;10.377 (8,0%) 
;;80+;101.386 (2,6%) ;3.141 (2,4%) 
;Sesso;F;3.141 (2,4%) ;69.358 (53,8%) 
;;M;1.883.458 (48,3%) ;59.567 (46,2%) 
;Nazionalitˆ;Italiano;3.614.366 (92,7%) ;117.543 (91,2%) 
;;Straniero;286.721 (7,3%) ;11.382 (8,8%) 
;Macroarea geografica;Nord;2.304.469 (59,1%) ;96.746 (75,0%) 
;;Centro;634.713 (16,3%) ;10.439 (8,1%) 
;;Sud;961.905 (24,7%) ;21.740 (16,9%) 
;Operatori sanitari;Si;45.346 (1,7%) ;5.182 (5,4%) 
;;No (o non noto);2.563.438 (98,3%) ;91.609 (94,6%) 
;Stato vaccinale;Non vaccinato;683.186 (19,3%) ;31.297 (26,4%) 
;;>= 1 dose dopo prima diagnosi;15.818 (0,4%) ;83.588 (70,6%) 
;;>= 1 dose prima della prima diagnosi;2.833.612 (80,2%) ;3.587 (3,0%) 
;;;;
02-feb-22;Fascia d'etˆ;0-19;1.128.267 (26,0%) ;27.822 (19,9%) 
;;20-39;1.215.258 (28,0%) ;46.560 (33,4%) 
;;40-59;1.361.382 (31,4%) ;49.474 (35,5%) 
;;60-79;512.375 (11,8%) ;11.638 (8,3%) 
;;80+;121.071 (2,8%) ;4.012 (2,9%) 
;Sesso;F;2.256.011 (52,0%) ;75.801 (54,3%) 
;;M;2.082.514 (48,0%) ;63.705 (45,7%) 
;Nazionalitˆ;Italiano;3.994.554 (92,1%) ;126.259 (90,5%) 
;;Straniero;343.971 (7,9%) ;13.247 (9,5%) 
;Macroarea geografica;Nord;2.404.686 (55,4%) ;105.468 (75,6%) 
;;Centro;882.220 (20,3%) ;13.167 (9,4%) 
;;Sud;1.051.619 (24,2%) ;20.871 (15,0%) 
;Operatori sanitari;Si;46.098 (1,6%) ;5.228 (5,1%) 
;;No (o non noto);2.755.813 (98,4%) ;96.749 (94,9%) 
;Stato vaccinale;Non vaccinato;770.347 (20,3%) ;36.215 (28,8%) 
;;>= 1 dose dopo prima diagnosi;23.370 (0,6%) ;85.875 (68,2%) 
;;>= 1 dose prima della prima diagnosi;3.007.017 (79,1%) ;3.836 (3,0%) 
;;;;
09-feb-22;Fascia d'etˆ;0-19;1.147.821 (28,4%) ;28.806 (21,4%) 
;;20-39;1.051.171 (26,0%) ;41.601 (30,8%) 
;;40-59;1.250.744 (30,9%) ;48.417 (35,9%) 
;;60-79;472.701 (11,7%) ;11.514 (8,5%) 
;;80+;124.318 (3,1%) ;4.532 (3,4%) 
;Sesso;F;2.115.638 (52,3%) ;73.965 (54,8%) 
;;M;1.931.270 (47,7%) ;60.905 (45,2%) 
;Nazionalitˆ;Italiano;3.712.557 (91,7%) ;121.466 (90,1%) 
;;Straniero;334.351 (8,3%) ;13.404 (9,9%) 
;Macroarea geografica;Nord;2.165.970 (53,5%) ;98.745 (73,2%) 
;;Centro;870.971 (21,5%) ;16.780 (12,4%) 
;;Sud;1.009.967 (25,0%) ;19.345 (14,3%) 
;Operatori sanitari;Si;42.655 (1,7%) ;4.886 (5,1%) 
;;No (o non noto);2.464.978 (98,3%) ;90.935 (94,9%) 
;Stato vaccinale;Non vaccinato;728.046 (21,2%) ;36.894 (30,9%) 
;;>= 1 dose dopo prima diagnosi;26.701 (0,8%) ;78.705 (65,9%) 
;;>= 1 dose prima della prima diagnosi;2.677.775 (78,0%) ;3.767 (3,2%) 
