Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2020-02;6-12 gennaio 2020;A(H3N2);70;872;796
2020-02;6-12 gennaio 2020;A(H1N1) pdm09 ;55;872;796
2020-02;6-12 gennaio 2020;FLU B;50;872;796
2020-03;13-19 gennaio 2020;FLU A;213;953;831
2020-03;13-19 gennaio 2020;A;10;953;831
2020-03;13-19 gennaio 2020;A(H3N2);99;953;831
2020-03;13-19 gennaio 2020;A(H1N1) pdm09 ;104;953;831
2020-03;13-19 gennaio 2020;FLU B;90;953;831
2020-04;20-26 gennaio 2020;FLU A;310;1140;965
2020-04;20-26 gennaio 2020;A;12;1140;965
2020-04;20-26 gennaio 2020;A(H3N2);167;1140;965
2020-04;20-26 gennaio 2020;A(H1N1) pdm09 ;131;1140;965
2020-04;20-26 gennaio 2020;FLU B;145;1140;965
2020-05;27 gennaio-2 febbraio 2020;FLU A;364;1257;1102
2020-05;27 gennaio-2 febbraio 2020;A;20;1257;1102
2020-05;27 gennaio-2 febbraio 2020;A(H3N2);195;1257;1102
2020-05;27 gennaio-2 febbraio 2020;A(H1N1) pdm09 ;149;1257;1102
2020-05;27 gennaio-2 febbraio 2020;FLU B;185;1257;1102
2020-06;3-9 febbraio 2020;FLU A;330;1264;1097
2020-06;3-9 febbraio 2020;A;25;1264;1097
2020-06;3-9 febbraio 2020;A(H3N2);180;1264;1097
2020-06;3-9 febbraio 2020;A(H1N1) pdm09 ;125;1264;1097
2020-06;3-9 febbraio 2020;FLU B;186;1264;1097
2020-07;10-16 febbraio 2020;FLU A;343;1191;1054
2020-07;10-16 febbraio 2020;A;32;1191;1054
2020-07;10-16 febbraio 2020;A(H3N2);193;1191;1054
2020-07;10-16 febbraio 2020;A(H1N1) pdm09 ;118;1191;1054
2020-07;10-16 febbraio 2020;FLU B;205;1191;1054
2020-08;17-23 febbraio 2020;FLU A;290;1072;918
2020-08;17-23 febbraio 2020;A;58;1072;918
2020-08;17-23 febbraio 2020;A(H3N2);144;1072;918
2020-08;17-23 febbraio 2020;A(H1N1) pdm09 ;88;1072;918
2020-08;17-23 febbraio 2020;FLU B;155;1072;918
2020-09;24 febbraio-1 marzo 2020;FLU A;195;761;686
2020-09;24 febbraio-1 marzo 2020;A;12;761;686
2020-09;24 febbraio-1 marzo 2020;A(H3N2);126;761;686
2020-09;24 febbraio-1 marzo 2020;A(H1N1) pdm09 ;57;761;686
2020-09;24 febbraio-1 marzo 2020;FLU B;97;761;686
2020-10;2-8 marzo 2020;FLU A;80;475;441
2020-10;2-8 marzo 2020;A;9;475;441
2020-10;2-8 marzo 2020;A(H3N2);47;475;441
2020-10;2-8 marzo 2020;A(H1N1) pdm09 ;24;475;441
2020-10;2-8 marzo 2020;FLU B;39;475;441
2020-11;9-15 marzo 2020;FLU A;14;239;228
2020-11;9-15 marzo 2020;A;2;239;228
2020-11;9-15 marzo 2020;A(H3N2);5;239;228
2020-11;9-15 marzo 2020;A(H1N1) pdm09 ;7;239;228
2020-11;9-15 marzo 2020;FLU B;13;239;228
2020-12;16-22 marzo 2020;FLU A;2;97;89
2020-12;16-22 marzo 2020;A;0;97;89
2020-12;16-22 marzo 2020;A(H3N2);2;97;89
2020-12;16-22 marzo 2020;A(H1N1) pdm09 ;0;97;89
2020-12;16-22 marzo 2020;FLU B;0;97;89
2020-13;23-29 marzo 2020;FLU A;0;77;44
2020-13;23-29 marzo 2020;A;0;77;44
2020-13;23-29 marzo 2020;A(H3N2);0;77;44
2020-13;23-29 marzo 2020;A(H1N1) pdm09 ;0;77;44
2020-13;23-29 marzo 2020;FLU B;0;77;44
2020-14;30 marzo-5 aprile 2020;FLU A;1;68;39
2020-14;30 marzo-5 aprile 2020;A;0;68;39
2020-14;30 marzo-5 aprile 2020;A(H3N2);0;68;39
2020-14;30 marzo-5 aprile 2020;A(H1N1) pdm09 ;1;68;39
2020-14;30 marzo-5 aprile 2020;FLU B;0;68;39
2020-15;6-12 aprile 2020;FLU A;0;82;68
2020-15;6-12 aprile 2020;A;0;82;68
2020-15;6-12 aprile 2020;A(H3N2);0;82;68
2020-15;6-12 aprile 2020;A(H1N1) pdm09 ;0;82;68
2020-15;6-12 aprile 2020;FLU B;0;82;68
2020-16;13-19 aprile 2020;FLU A;0;59;29
2020-16;13-19 aprile 2020;A;0;59;29
2020-16;13-19 aprile 2020;A(H3N2);0;59;29
2020-16;13-19 aprile 2020;A(H1N1) pdm09 ;0;59;29
2020-16;13-19 aprile 2020;FLU B;0;59;29
2020-17;20-26 aprile 2020;FLU A;0;62;33
2020-17;20-26 aprile 2020;A;0;62;33
2020-17;20-26 aprile 2020;A(H3N2);0;62;33
2020-17;20-26 aprile 2020;A(H1N1) pdm09 ;0;62;33
2020-17;20-26 aprile 2020;FLU B;0;62;33
