Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2019-01;31 dicembre 2018-6 gennaio 2019;FLU B;0;462;426
2019-02;7-13 gennaio 2019;FLU A;267;658;591
2019-02;7-13 gennaio 2019;A;15;658;591
2019-02;7-13 gennaio 2019;A(H3N2);82;658;591
2019-02;7-13 gennaio 2019;A(H1N1) pdm09 ;170;658;591
2019-02;7-13 gennaio 2019;FLU B;3;658;591
2019-03;14-20 gennaio 2019;FLU A;560;986;859
2019-03;14-20 gennaio 2019;A;41;986;859
2019-03;14-20 gennaio 2019;A(H3N2);176;986;859
2019-03;14-20 gennaio 2019;A(H1N1) pdm09 ;343;986;859
2019-03;14-20 gennaio 2019;FLU B;2;986;859
2019-04;21-27 gennaio 2019;FLU A;727;1270;1110
2019-04;21-27 gennaio 2019;A;14;1270;1110
2019-04;21-27 gennaio 2019;A(H3N2);257;1270;1110
2019-04;21-27 gennaio 2019;A(H1N1) pdm09 ;456;1270;1110
2019-04;21-27 gennaio 2019;FLU B;1;1270;1110
2019-05;28 gennaio-3 febbraio 2019;FLU A;833;1431;1352
2019-05;28 gennaio-3 febbraio 2019;A;62;1431;1352
2019-05;28 gennaio-3 febbraio 2019;A(H3N2);316;1431;1352
2019-05;28 gennaio-3 febbraio 2019;A(H1N1) pdm09 ;455;1431;1352
2019-05;28 gennaio-3 febbraio 2019;FLU B;0;1431;1352
2019-06;4-10 febbraio 2019;FLU A;918;1563;1486
2019-06;4-10 febbraio 2019;A;84;1563;1486
2019-06;4-10 febbraio 2019;A(H3N2);391;1563;1486
2019-06;4-10 febbraio 2019;A(H1N1) pdm09 ;443;1563;1486
2019-06;4-10 febbraio 2019;FLU B;0;1563;1486
2019-07;11-17 febbraio 2019;FLU A;742;1416;1337
2019-07;11-17 febbraio 2019;A;30;1416;1337
2019-07;11-17 febbraio 2019;A(H3N2);378;1416;1337
2019-07;11-17 febbraio 2019;A(H1N1) pdm09 ;334;1416;1337
2019-07;11-17 febbraio 2019;FLU B;0;1416;1337
2019-08;18-24 febbraio 2019;FLU A;661;1294;1253
2019-08;18-24 febbraio 2019;A;81;1294;1253
2019-08;18-24 febbraio 2019;A(H3N2);342;1294;1253
2019-08;18-24 febbraio 2019;A(H1N1) pdm09 ;238;1294;1253
2019-08;18-24 febbraio 2019;FLU B;2;1294;1253
2019-09;25 febbraio-3 marzo 2019;FLU A;468;924;853
2019-09;25 febbraio-3 marzo 2019;A;54;924;853
2019-09;25 febbraio-3 marzo 2019;A(H3N2);298;924;853
2019-09;25 febbraio-3 marzo 2019;A(H1N1) pdm09 ;116;924;853
2019-09;25 febbraio-3 marzo 2019;FLU B;0;924;853
2019-10;4-10 marzo 2019;FLU A;328;929;886
2019-10;4-10 marzo 2019;A;38;929;886
2019-10;4-10 marzo 2019;A(H3N2);223;929;886
2019-10;4-10 marzo 2019;A(H1N1) pdm09 ;67;929;886
2019-10;4-10 marzo 2019;FLU B;0;929;886
2019-11;11-17 marzo 2019;FLU A;192;667;619
2019-11;11-17 marzo 2019;A;17;667;619
2019-11;11-17 marzo 2019;A(H3N2);138;667;619
2019-11;11-17 marzo 2019;A(H1N1) pdm09 ;37;667;619
2019-11;11-17 marzo 2019;FLU B;0;667;619
2019-12;18-24 marzo 2019;FLU A;139;422;407
2019-12;18-24 marzo 2019;A;16;422;407
2019-12;18-24 marzo 2019;A(H3N2);102;422;407
2019-12;18-24 marzo 2019;A(H1N1) pdm09 ;21;422;407
2019-12;18-24 marzo 2019;FLU B;0;422;407
2019-13;25-31 marzo 2019;FLU A;62;406;392
2019-13;25-31 marzo 2019;A;3;406;392
2019-13;25-31 marzo 2019;A(H3N2);45;406;392
2019-13;25-31 marzo 2019;A(H1N1) pdm09 ;14;406;392
2019-13;25-31 marzo 2019;FLU B;0;406;392
2019-14;1-7 aprile 2019;FLU A;41;328;327
2019-14;1-7 aprile 2019;A;4;328;327
2019-14;1-7 aprile 2019;A(H3N2);32;328;327
2019-14;1-7 aprile 2019;A(H1N1) pdm09 ;5;328;327
2019-14;1-7 aprile 2019;FLU B;0;328;327
2019-15;8-14 aprile 2019;FLU A;24;271;267
2019-15;8-14 aprile 2019;A;0;271;267
2019-15;8-14 aprile 2019;A(H3N2);18;271;267
2019-15;8-14 aprile 2019;A(H1N1) pdm09 ;6;271;267
2019-15;8-14 aprile 2019;FLU B;0;271;267
2019-16;15-21 aprile 2019;FLU A;13;203;200
2019-16;15-21 aprile 2019;A;2;203;200
2019-16;15-21 aprile 2019;A(H3N2);8;203;200
2019-16;15-21 aprile 2019;A(H1N1) pdm09 ;3;203;200
2019-16;15-21 aprile 2019;FLU B;0;84;82
2019-17;22-28 aprile 2019;FLU A;4;84;82
2019-17;22-28 aprile 2019;A;0;84;82
2019-17;22-28 aprile 2019;A(H3N2);2;84;82
2019-17;22-28 aprile 2019;A(H1N1) pdm09 ;2;84;82
2019-17;22-28 aprile 2019;FLU B;0;84;82
