Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2020-52;21-27 dicembre 2020;Positivi al SARS-CoV-2;11;90;80
2020-53;28 dicembre 2020-3 gennaio 2021;FLU A;0;100;100
2020-53;28 dicembre 2020-3 gennaio 2021;A;0;100;100
2020-53;28 dicembre 2020-3 gennaio 2021;A(H3N2);0;100;100
2020-53;28 dicembre 2020-3 gennaio 2021;A(H1N1)pdm2009;0;100;100
2020-53;28 dicembre 2020-3 gennaio 2021;FLU B;0;100;100
2020-53;28 dicembre 2020-3 gennaio 2021;Positivi al SARS-CoV-2;9;100;100
2021-01;4-10 gennaio 2021;FLU A;0;121;119
2021-01;4-10 gennaio 2021;A;0;121;119
2021-01;4-10 gennaio 2021;A(H3N2);0;121;119
2021-01;4-10 gennaio 2021;A(H1N1)pdm2009;0;121;119
2021-01;4-10 gennaio 2021;FLU B;0;121;119
2021-01;4-10 gennaio 2021;Positivi al SARS-CoV-2;16;121;119
2021-02;11-17 gennaio 2021;FLU A;0;154;149
2021-02;11-17 gennaio 2021;A;0;154;149
2021-02;11-17 gennaio 2021;A(H3N2);0;154;149
2021-02;11-17 gennaio 2021;A(H1N1)pdm2009;0;154;149
2021-02;11-17 gennaio 2021;FLU B;0;154;149
2021-02;11-17 gennaio 2021;Positivi al SARS-CoV-2;10;154;149
2021-03;18-24 gennaio 2021;FLU A;0;223;172
2021-03;18-24 gennaio 2021;A;0;223;172
2021-03;18-24 gennaio 2021;A(H3N2);0;223;172
2021-03;18-24 gennaio 2021;A(H1N1)pdm2009;0;223;172
2021-03;18-24 gennaio 2021;FLU B;0;223;172
2021-03;18-24 gennaio 2021;Positivi al SARS-CoV-2;23;223;172
2021-04;25-31 gennaio 2021;FLU A;0;103;95
2021-04;25-31 gennaio 2021;A;0;103;95
2021-04;25-31 gennaio 2021;A(H3N2);0;103;95
2021-04;25-31 gennaio 2021;A(H1N1)pdm2009;0;103;95
2021-04;25-31 gennaio 2021;FLU B;0;103;95
2021-04;25-31 gennaio 2021;Positivi al SARS-CoV-2;14;103;95
2021-05;1-7 febbraio 2021;FLU A;0;240;234
2021-05;1-7 febbraio 2021;A;0;240;234
2021-05;1-7 febbraio 2021;A(H3N2);0;240;234
2021-05;1-7 febbraio 2021;A(H1N1)pdm2009;0;240;234
2021-05;1-7 febbraio 2021;FLU B;0;240;234
2021-05;1-7 febbraio 2021;Positivi al SARS-CoV-2;27;240;234
2021-06;8-14 febbraio 2021;FLU A;0;158;155
2021-06;8-14 febbraio 2021;A;0;158;155
2021-06;8-14 febbraio 2021;A(H3N2);0;158;155
2021-06;8-14 febbraio 2021;A(H1N1)pdm2009;0;158;155
2021-06;8-14 febbraio 2021;FLU B;0;158;155
2021-06;8-14 febbraio 2021;Positivi al SARS-CoV-2;5;158;155
2021-07;15-21 febbraio 2021;FLU A;0;195;190
2021-07;15-21 febbraio 2021;A;0;195;190
2021-07;15-21 febbraio 2021;A(H3N2);0;195;190
2021-07;15-21 febbraio 2021;A(H1N1)pdm2009;0;195;190
2021-07;15-21 febbraio 2021;FLU B;0;195;190
2021-07;15-21 febbraio 2021;Positivi al SARS-CoV-2;24;195;190
2021-08;22-28 febbraio 2021;FLU A;0;282;280
2021-08;22-28 febbraio 2021;A;0;282;280
2021-08;22-28 febbraio 2021;A(H3N2);0;282;280
2021-08;22-28 febbraio 2021;A(H1N1)pdm2009;0;282;280
2021-08;22-28 febbraio 2021;FLU B;0;282;280
2021-08;22-28 febbraio 2021;Positivi al SARS-CoV-2;48;282;280
2021-09;1-7 marzo 2021;FLU A;0;247;241
2021-09;1-7 marzo 2021;A;0;247;241
2021-09;1-7 marzo 2021;A(H3N2);0;247;241
2021-09;1-7 marzo 2021;A(H1N1)pdm2009;0;247;241
2021-09;1-7 marzo 2021;FLU B;0;247;241
2021-09;1-7 marzo 2021;Positivi al SARS-CoV-2;46;247;241
2021-10;8-14 marzo 2021;FLU A;0;314;310
2021-10;8-14 marzo 2021;A;0;314;310
2021-10;8-14 marzo 2021;A(H3N2);0;314;310
2021-10;8-14 marzo 2021;A(H1N1)pdm2009;0;314;310
2021-10;8-14 marzo 2021;FLU B;0;314;310
2021-10;8-14 marzo 2021;Positivi al SARS-CoV-2;109;314;310
2021-11;15-21 marzo 2021;FLU A;0;306;305
2021-11;15-21 marzo 2021;A;0;306;305
2021-11;15-21 marzo 2021;A(H3N2);0;306;305
2021-11;15-21 marzo 2021;A(H1N1)pdm2009;0;306;305
2021-11;15-21 marzo 2021;FLU B;0;306;305
2021-11;15-21 marzo 2021;Positivi al SARS-CoV-2;104;306;305
2021-12;22-28 marzo 2021;FLU A;0;396;390
2021-12;22-28 marzo 2021;A;0;396;390
2021-12;22-28 marzo 2021;A(H3N2);0;396;390
2021-12;22-28 marzo 2021;A(H1N1)pdm2009;0;396;390
2021-12;22-28 marzo 2021;FLU B;0;396;390
2021-12;22-28 marzo 2021;Positivi al SARS-CoV-2;115;396;390
2021-13;29 marzo-4 aprile 2021;FLU A;0;310;309
2021-13;29 marzo-4 aprile 2021;A;0;310;309
2021-13;29 marzo-4 aprile 2021;A(H3N2);0;310;309
2021-13;29 marzo-4 aprile 2021;A(H1N1)pdm2009;0;310;309
2021-13;29 marzo-4 aprile 2021;FLU B;0;310;309
2021-13;29 marzo-4 aprile 2021;Positivi al SARS-CoV-2;87;310;309
2021-14;5-11 aprile 2021;FLU A;0;255;249
2021-14;5-11 aprile 2021;A;0;255;249
2021-14;5-11 aprile 2021;A(H3N2);0;255;249
2021-14;5-11 aprile 2021;A(H1N1)pdm2009;0;255;249
2021-14;5-11 aprile 2021;FLU B;0;255;249
2021-14;5-11 aprile 2021;Positivi al SARS-CoV-2;63;255;249
2021-15;12-18 aprile 2021;FLU A;0;236;234
2021-15;12-18 aprile 2021;A;0;236;234
2021-15;12-18 aprile 2021;A(H3N2);0;236;234
2021-15;12-18 aprile 2021;A(H1N1)pdm2009;0;236;234
2021-15;12-18 aprile 2021;FLU B;0;236;234
2021-15;12-18 aprile 2021;Positivi al SARS-CoV-2;36;236;234
2021-16;19-25 aprile 2021;FLU A;0;252;252
2021-16;19-25 aprile 2021;A;0;252;252
2021-16;19-25 aprile 2021;A(H3N2);0;252;252
2021-16;19-25 aprile 2021;A(H1N1)pdm2009;0;252;252
2021-16;19-25 aprile 2021;FLU B;0;252;252
2021-16;19-25 aprile 2021;Positivi al SARS-CoV-2;50;252;252
