Settimana;Virus;N.;N. campioni;N. campioni analizzati
7-13 marzo 2022;A;48;629;610
7-13 marzo 2022;A(H3N2);132;629;610
7-13 marzo 2022;A(H1N1)pdm2009;0;629;610
7-13 marzo 2022;FLU B;0;629;610
7-13 marzo 2022;Positivi al SARS-CoV-2;154;629;610
14-20 marzo 2022;FLU A;303;758;741
14-20 marzo 2022;A;83;758;741
14-20 marzo 2022;A(H3N2);219;758;741
14-20 marzo 2022;A(H1N1)pdm2009;1;758;741
14-20 marzo 2022;FLU B;0;758;741
14-20 marzo 2022;Positivi al SARS-CoV-2;185;758;741
21-27 marzo 2022;FLU A;338;780;753
21-27 marzo 2022;A;120;780;753
21-27 marzo 2022;A(H3N2);217;780;753
21-27 marzo 2022;A(H1N1)pdm2009;1;780;753
21-27 marzo 2022;FLU B;0;780;753
21-27 marzo 2022;Positivi al SARS-CoV-2;211;780;753
28 marzo-3 aprile 2022;FLU A;301;705;676
28 marzo-3 aprile 2022;A;93;705;676
28 marzo-3 aprile 2022;A(H3N2);207;705;676
28 marzo-3 aprile 2022;A(H1N1)pdm2009;1;705;676
28 marzo-3 aprile 2022;FLU B;0;705;676
28 marzo-3 aprile 2022;Positivi al SARS-CoV-2;177;705;676
4-10 aprile 2022;FLU A;248;696;664
4-10 aprile 2022;A;102;696;664
4-10 aprile 2022;A(H3N2);145;696;664
4-10 aprile 2022;A(H1N1)pdm2009;1;696;664
4-10 aprile 2022;FLU B;0;696;664
4-10 aprile 2022;Positivi al SARS-CoV-2;233;696;664
11-17 aprile 2022;FLU A;142;491;472
11-17 aprile 2022;A;29;491;472
11-17 aprile 2022;A(H3N2);112;491;472
11-17 aprile 2022;A(H1N1)pdm2009;1;491;472
11-17 aprile 2022;FLU B;1;491;472
11-17 aprile 2022;Positivi al SARS-CoV-2;195;491;472
18-24 aprile 2022;FLU A;99;384;375
18-24 aprile 2022;A;14;384;375
18-24 aprile 2022;A(H3N2);84;384;375
18-24 aprile 2022;A(H1N1)pdm2009;1;384;375
18-24 aprile 2022;FLU B;0;384;375
18-24 aprile 2022;Positivi al SARS-CoV-2;136;384;375
25 aprile-1 maggio 2022;FLU A;64;437;431
25 aprile-1 maggio 2022;A;41;437;431
25 aprile-1 maggio 2022;A(H3N2);23;437;431
25 aprile-1 maggio 2022;A(H1N1)pdm2009;0;437;431
25 aprile-1 maggio 2022;FLU B;0;437;431
25 aprile-1 maggio 2022;Positivi al SARS-CoV-2;146;437;431
