data;pubblicazione;url;fascia;vaccino;popolazione_diagnosi;diagnosi;popolazione_giorno_diagnosi;diagnosi_start;diagnosi_end;totale;percentuale_popolazione;percentuale_diagnosi;popolazione_ospedalizzati;ospedalizzazioni;popolazione_giorno_ospedalizzati;ospedalizzazioni_start;ospedalizzazioni_end;totale;percentuale_popolazione;percentuale_ospedalizzazioni;popolazione_ricoveri;ricoveri;popolazione_giorno_ricoveri;ricoveri_start;ricoveri_end;totale;percentuale_popolazione;percentuale_ricoveri;popolazione_decessi;decessi;popolazione_giorno_decessi;decessi_start;decessi_end;totale;percentuale_popolazione;percentuale_decessi
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;60-79;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;819.651;18.275;01/01/22;17/12/21;16/01/22;13.571.415;0,060395397;0,022296075;1.067.993;361;18/12/21;03/12/21;02/01/22;13.571.415;0,0786943;0,000338017;1.067.993;37;18/12/21;03/12/21;02/01/22;13.571.415;0,0786943;3,46E-05;1.371.105;42;11/12/21;26/11/21;26/12/21;13.571.415;0,101028891;3,06E-05
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;60-79;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;5.564.879;92.082;01/01/22;17/12/21;16/01/22;13.571.415;0,410044126;0,016546991;2.991.115;638;18/12/21;03/12/21;02/01/22;13.571.415;0,220398168;0,000213298;2.991.115;49;18/12/21;03/12/21;02/01/22;13.571.415;0,220398168;1,64E-05;1.966.067;60;11/12/21;26/11/21;26/12/21;13.571.415;0,14486824;3,05E-05
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;80+;NON VACCINATI;198.565;12.074;01/01/22;17/12/21;16/01/22;4.574.312;0,043408714;0,060806285;208.045;2.115;18/12/21;03/12/21;02/01/22;4.574.312;0,045481157;0,01016607;208.045;95;18/12/21;03/12/21;02/01/22;4.574.312;0,045481157;0,000456632;212.551;883;11/12/21;26/11/21;26/12/21;4.574.312;0,046466223;0,004154297
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;80+;VACCINATI CON CICLO INCOMPLETO;82.922;1.441;01/01/22;17/12/21;16/01/22;4.574.312;0,018127753;0,017377777;81.612;159;18/12/21;03/12/21;02/01/22;4.574.312;0,017841372;0,001948243;81.612;7;18/12/21;03/12/21;02/01/22;4.574.312;0,017841372;8,58E-05;80.916;62;11/12/21;26/11/21;26/12/21;4.574.312;0,017689218;0,000766227
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;80+;VACCINATI CON CICLO COMPLETO DA > 4 mesi;1.141.910;22.414;01/01/22;17/12/21;16/01/22;4.574.312;0,249635355;0,019628517;1.637.817;2.918;18/12/21;03/12/21;02/01/22;4.574.312;0,358046631;0,00178164;1.637.817;96;18/12/21;03/12/21;02/01/22;4.574.312;0,358046631;5,86E-05;1.939.009;962;11/12/21;26/11/21;26/12/21;4.574.312;0,42389085;0,00049613
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;80+;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;108.832;1.828;01/01/22;17/12/21;16/01/22;4.574.312;0,023791993;0,01679653;116.560;145;18/12/21;03/12/21;02/01/22;4.574.312;0,025481428;0,001243995;116.560;5;18/12/21;03/12/21;02/01/22;4.574.312;0,025481428;4,29E-05;123.875;55;11/12/21;26/11/21;26/12/21;4.574.312;0,027080575;0,000443996
19/01/22;21/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_19-gennaio-2022.pdf;80+;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;3.042.083;40.505;01/01/22;17/12/21;16/01/22;4.574.312;0,665036185;0,01331489;2.530.278;999;18/12/21;03/12/21;02/01/22;4.574.312;0,553149414;0,000394818;2.530.278;36;18/12/21;03/12/21;02/01/22;4.574.312;0,553149414;1,42E-05;2.217.961;147;11/12/21;26/11/21;26/12/21;4.574.312;0,484873135;6,63E-05
26/01/22;28/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_26-gennaio-2022.pdf;12_39;NON VACCINATI;2.419.609;327.894;08/01/22;24/12/21;23/01/22;17.425.032;0,138858224;0,135515284;2.620.336;1.760;25/12/21;10/12/21;09/01/22;17.425.032;0,150377687;0,00067167;2.620.336;64;25/12/21;10/12/21;09/01/22;17.425.032;0,150377687;2,44E-05;2.766.731;14;18/12/21;03/12/21;02/01/22;17.425.032;0,158779106;5,06E-06
26/01/22;28/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_26-gennaio-2022.pdf;12_39;VACCINATI CON CICLO INCOMPLETO;855.168;73.810;08/01/22;24/12/21;23/01/22;17.425.032;0,049076983;0,086310526;831.019;233;25/12/21;10/12/21;09/01/22;17.425.032;0,047691103;0,000280379;831.019;0;25/12/21;10/12/21;09/01/22;17.425.032;0,047691103;0;764.245;1;18/12/21;03/12/21;02/01/22;17.425.032;0,04385903;1,31E-06
26/01/22;28/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_26-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO DA > 4 mesi;6.730.170;711.717;08/01/22;24/12/21;23/01/22;17.425.032;0,386235733;0,105750226;6.618.448;1.282;25/12/21;10/12/21;09/01/22;17.425.032;0,379824152;0,000193701;6.618.448;19;25/12/21;10/12/21;09/01/22;17.425.032;0,379824152;2,87E-06;6.154.237;13;18/12/21;03/12/21;02/01/22;17.425.032;0,353183684;2,11E-06
26/01/22;28/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_26-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO DA <= 4 mesi;5.493.446;462.197;08/01/22;24/12/21;23/01/22;17.425.032;0,315261745;0,084136078;6.318.102;1.044;25/12/21;10/12/21;09/01/22;17.425.032;0,362587684;0,000165239;6.318.102;16;25/12/21;10/12/21;09/01/22;17.425.032;0,362587684;2,53E-06;7.074.555;0;18/12/21;03/12/21;02/01/22;17.425.032;0,405999541;0
26/01/22;28/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_26-gennaio-2022.pdf;12_39;VACCINATI CON CICLO COMPLETO + DOSE AGGIUNTIVA/BOOSTER;1.926.639;117.864;08/01/22;24/12/21;23/01/22;17.425.032;0,110567315;0,061175965;1.037.127;278;25/12/21;10/12/21;09/01/22;17.425.032;0,059519374;0,000268048;1.037.127;7;25/12/21;10/12/21;09/01/22;17.425.032;0,059519374;6,75E-06;665.264;0;18/12/21;03/12/21;02/01/22;17.425.032;0,038178639;0
26/01/22;28/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_26-gennaio-2022.pdf;40-59;NON VACCINATI;2.400.262;276.525;08/01/22;24/12/21;23/01/22;18.428.280;0,130248835;0,115206173;2.499.788;3.875;25/12/21;10/12/21;09/01/22;18.428.280;0,135649556;0,001550131;2.499.788;533;25/12/21;10/12/21;09/01/22;18.428.280;0,135649556;0,000213218;2.566.923;167;18/12/21;03/12/21;02/01/22;18.428.280;0,139292598;6,51E-05
26/01/22;28/01/22;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_26-gennaio-2022.pdf;40-59;VACCINATI CON CICLO INCOMPLETO;511.298;40.567;08/01/22;24/12/21;23/01/22;18.428.280;0,027745291;0,079341206;506.081;202;25/12/21;10/12/21;09/01/22;18.428.280;0,027462194;0,000399146;506.081;12;25/12/21;10/12/21;09/01/22;18.428.280;0,027462194;2,37E-05;484.189;9;18/12/21;03/12/21;02/01/22;18.428.280;0,026274237;1,86E-05
