Data;Regione;Totale Classi/Sezioni;Classi/Sezioni che hanno partecipato alla rilevazione;% rispetto al totale classi;Classi/Sezioni in presenza;di cui in DDI;% Classi/Sezioni in presenza;% di cui in DDI;N. classi in DAD e sezioni in quarantena;% classi in DAD e sezioni in quarantena ;"N. sezioni Infanzia con
Didattica Sospesa";% sezioni Infanzia con Didattica Sospesa
31 gennaio - 5 febbraio 2022;Basilicata;4.165;3.749;90,00%;3.217;627;85,80%;17,10%;532;14,20%;;
31 gennaio - 5 febbraio 2022;Calabria;15.128;11.468;75,80%;10.365;1.197;90,40%;10,80%;1.103;9,60%;;
31 gennaio - 5 febbraio 2022;Sicilia;36.646;29.729;81,10%;26.565;4.297;89,40%;14,50%;3.164;10,60%;;
31 gennaio - 5 febbraio 2022;Sardegna;11.334;7.266;64,10%;6.252;1.048;86,00%;14,60%;1.014;14,00%;;
31 gennaio - 5 febbraio 2022;TOTALE;375.908;279.677;74,40%;246.401;32.619;88,10%;11,70%;33.276;11,90%;;
;;;;;;;;;;;;
7-12 febbraio 2022;Piemonte;26.349;20.075;76,2%;20.045;1.353;99,9%;6,7%;;;30;0,1%
7-12 febbraio 2022;Lombardia;56.145;43.410;77,3%;43.322;2.627;99,8%;6,1%;;;88;0,2%
7-12 febbraio 2022;Veneto;28.355;20.759;73,2%;20.739;1.651;99,9%;8,0%;;;20;0,1%
7-12 febbraio 2022;Friuli Venezia Giulia;7.379;5.618;76,1%;5.614;423;99,9%;7,5%;;;4;0,1%
7-12 febbraio 2022;Liguria;8.418;6.319;75,1%;6.301;666;99,7%;10,5%;;;18;0,3%
7-12 febbraio 2022;Emilia Romagna;25.498;18.125;71,1%;18.100;1.500;99,9%;8,3%;;;25;0,1%
7-12 febbraio 2022;Toscana;22.804;16.837;73,8%;16.793;1.629;99,7%;9,7%;;;44;0,3%
7-12 febbraio 2022;Umbria;5.941;4.976;83,8%;4.959;685;99,7%;13,8%;;;17;0,3%
7-12 febbraio 2022;Marche;10.153;8.274;81,5%;8.238;820;99,6%;9,9%;;;36;0,4%
7-12 febbraio 2022;Lazio;34.861;24.716;70,9%;24.591;3.407;99,5%;13,8%;;;125;0,5%
7-12 febbraio 2022;Abruzzo;8.756;6.619;75,6%;6.596;962;99,7%;14,5%;;;23;0,3%
7-12 febbraio 2022;Molise;2.147;2.005;93,4%;1.975;338;98,5%;16,9%;;;30;1,5%
7-12 febbraio 2022;Campania;44.079;30.603;69,4%;30.501;3.141;99,7%;10,3%;;;102;0,3%
7-12 febbraio 2022;Puglia;27.988;22.942;82,0%;22.887;3.383;99,8%;14,7%;;;55;0,2%
7-12 febbraio 2022;Basilicata;4.165;3.783;90,8%;3.772;632;99,7%;16,7%;;;11;0,3%
7-12 febbraio 2022;Calabria;15.110;11.783;78,0%;11.717;1.493;99,4%;12,7%;;;66;0,6%
7-12 febbraio 2022;Sicilia;36.647;30.030;81,9%;29.910;5.527;99,6%;18,4%;;;120;0,4%
7-12 febbraio 2022;Sardegna;11.334;7.591;67,0%;7.569;1.117;99,7%;14,7%;;;22;0,3%
7-12 febbraio 2022;TOTALE;376.129;284.465;75,6%;283.629;31.354;99,7%;11,0%;;;836;0,3%
